13-03-2023 22:33:13 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:file:/Users/alexandra/FinalProject/src/main/resources user=SA
13-03-2023 22:33:13 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
13-03-2023 22:33:13 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:file:/Users/alexandra/FinalProject/src/main/resources'
13-03-2023 22:33:13 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
13-03-2023 22:33:13 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
13-03-2023 22:33:13 [main] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
13-03-2023 22:33:14 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
13-03-2023 22:33:14 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
13-03-2023 22:33:14 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
13-03-2023 22:33:14 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
13-03-2023 22:33:14 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
13-03-2023 22:33:14 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
13-03-2023 22:33:14 [main] INFO  c.e.p.LogisticsSystemApplication - Started LogisticsSystemApplication in 2.489 seconds (process running for 2.849)
13-03-2023 22:34:22 [http-nio-8080-exec-7] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
13-03-2023 22:34:22 [http-nio-8080-exec-7] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
13-03-2023 22:34:22 [http-nio-8080-exec-7] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 8 ms
13-03-2023 22:35:44 [http-nio-8080-exec-1] INFO  c.e.project.service.ShippingService - New day starting : 2021-12-15
13-03-2023 22:35:44 [http-nio-8080-exec-1] INFO  c.e.project.service.ShippingService - Today we will be delivering to Pitesti, Giurgiu, Bacau, Satu Mare, Cluj, Iasi, Oradea, Constanta, Ploiesti, Craiova.
13-03-2023 22:35:44 [pool-1-thread-3] INFO  c.e.project.service.ShippingService - Starting 2 deliveries for Bacau on pool-1-thread-3 for 16 km
13-03-2023 22:35:44 [pool-1-thread-1] INFO  c.e.project.service.ShippingService - Starting 2 deliveries for Pitesti on pool-1-thread-1 for 20 km
13-03-2023 22:35:44 [pool-1-thread-4] INFO  c.e.project.service.ShippingService - Starting 2 deliveries for Satu Mare on pool-1-thread-4 for 40 km
13-03-2023 22:35:44 [pool-1-thread-2] INFO  c.e.project.service.ShippingService - Starting 2 deliveries for Giurgiu on pool-1-thread-2 for 12 km
13-03-2023 22:35:44 [pool-1-thread-2] INFO  c.e.project.service.ShippingService - 1 deliveries completed for Giurgiu”
13-03-2023 22:35:44 [pool-1-thread-2] INFO  c.e.project.service.ShippingService - Starting 2 deliveries for Cluj on pool-1-thread-2 for 30 km
13-03-2023 22:35:44 [pool-1-thread-1] INFO  c.e.project.service.ShippingService - 3 deliveries completed for Pitesti”
13-03-2023 22:35:44 [pool-1-thread-1] INFO  c.e.project.service.ShippingService - Starting 2 deliveries for Iasi on pool-1-thread-1 for 27 km
13-03-2023 22:35:44 [pool-1-thread-3] INFO  c.e.project.service.ShippingService - 4 deliveries completed for Bacau”
13-03-2023 22:35:44 [pool-1-thread-3] INFO  c.e.project.service.ShippingService - Starting 2 deliveries for Oradea on pool-1-thread-3 for 35 km
